Group|Questionnaire|Project|Type|Source|Count
Kerry General Hospital|QES_Ireland|PanGen-Eu|Caso|answers|10
Kerry General Hospital|QES_Ireland|PanGen-Eu|Total|answers|10
Bon Secours Hospital – Cork|QES_Ireland|PanGen-Eu|Caso|perf|6
Bon Secours Hospital – Cork|QES_Ireland|PanGen-Eu|Total|perf|6
Bon Secours Hospital – Cork|QES_Ireland|PanGen-Eu|Caso|answers|6
Bon Secours Hospital – Cork|QES_Ireland|PanGen-Eu|Total|answers|6
Clonmel General Hospital|QES_Ireland|PanGen-Eu|Caso|perf|1
Clonmel General Hospital|QES_Ireland|PanGen-Eu|Total|perf|1
Clonmel General Hospital|QES_Ireland|PanGen-Eu|Caso|answers|1
Clonmel General Hospital|QES_Ireland|PanGen-Eu|Total|answers|1
Midwestern Regional Hospital Limerick|QES_Ireland|PanGen-Eu|Caso|perf|1
Midwestern Regional Hospital Limerick|QES_Ireland|PanGen-Eu|Total|perf|1
Midwestern Regional Hospital Limerick|QES_Ireland|PanGen-Eu|Caso|answers|1
Midwestern Regional Hospital Limerick|QES_Ireland|PanGen-Eu|Total|answers|1
Mater Infirmorum  Hospital, Belfast|QES_Ireland|PanGen-Eu|Caso|perf|31
Mater Infirmorum  Hospital, Belfast|QES_Ireland|PanGen-Eu|Control|perf|1
Mater Infirmorum  Hospital, Belfast|QES_Ireland|PanGen-Eu|Total|perf|32
Mater Infirmorum  Hospital, Belfast|QES_Ireland|PanGen-Eu|Caso|answers|31
Mater Infirmorum  Hospital, Belfast|QES_Ireland|PanGen-Eu|Control|answers|1
Mater Infirmorum  Hospital, Belfast|QES_Ireland|PanGen-Eu|Total|answers|32
Belfast City Hospital, Belfast|QES_Ireland|PanGen-Eu|Caso|perf|6
Belfast City Hospital, Belfast|QES_Ireland|PanGen-Eu|Control|perf|2
Belfast City Hospital, Belfast|QES_Ireland|PanGen-Eu|Total|perf|8
Belfast City Hospital, Belfast|QES_Ireland|PanGen-Eu|Caso|answers|6
Belfast City Hospital, Belfast|QES_Ireland|PanGen-Eu|Control|answers|2
Belfast City Hospital, Belfast|QES_Ireland|PanGen-Eu|Total|answers|8
Wexford General Hospital|QES_Ireland|PanGen-Eu|Caso|perf|1
Wexford General Hospital|QES_Ireland|PanGen-Eu|Total|perf|1
Wexford General Hospital|QES_Ireland|PanGen-Eu|Caso|answers|1
Wexford General Hospital|QES_Ireland|PanGen-Eu|Total|answers|1
Controls (Northern Ireland)|QES_Ireland|PanGen-Eu|Control|perf|59
Controls (Northern Ireland)|QES_Ireland|PanGen-Eu|Total|perf|59
Controls (Northern Ireland)|QES_Ireland|PanGen-Eu|Control|answers|59
Controls (Northern Ireland)|QES_Ireland|PanGen-Eu|Total|answers|59
Controls (RoI-Dublin)|QES_Ireland|PanGen-Eu|Control|perf|151
Controls (RoI-Dublin)|QES_Ireland|PanGen-Eu|Total|perf|151
Controls (RoI-Dublin)|QES_Ireland|PanGen-Eu|Control|answers|151
Controls (RoI-Dublin)|QES_Ireland|PanGen-Eu|Total|answers|151
Controls (RoI-South)|QES_Ireland|PanGen-Eu|Control|perf|81
Controls (RoI-South)|QES_Ireland|PanGen-Eu|Total|perf|81
Controls (RoI-South)|QES_Ireland|PanGen-Eu|Control|answers|81
Controls (RoI-South)|QES_Ireland|PanGen-Eu|Total|answers|81
University Hospital of Verona|QES_Italian|PanGen-Eu|Caso|perf|101
University Hospital of Verona|QES_Italian|PanGen-Eu|Total|perf|101
University Hospital of Verona|QES_Italian|PanGen-Eu|Caso|answers|101
University Hospital of Verona|QES_Italian|PanGen-Eu|Total|answers|101
Klinikum rechts der Isar der Technischen Universität München|Qualität des Interviews|PanGen-Eu|Caso|perf|16
Klinikum rechts der Isar der Technischen Universität München|Qualität des Interviews|PanGen-Eu|Total|perf|16
Klinikum rechts der Isar der Technischen Universität München|Qualität des Interviews|PanGen-Eu|Caso|answers|16
Klinikum rechts der Isar der Technischen Universität München|Qualität des Interviews|PanGen-Eu|Total|answers|16
Hospital del Mar|RecogidaMuestra_ES|ISBlaC|Sample?|perf|620
Hospital del Mar|RecogidaMuestra_ES|ISBlaC|Caso|perf|296
Hospital del Mar|RecogidaMuestra_ES|ISBlaC|Total|perf|916
Hospital del Mar|RecogidaMuestra_ES|ISBlaC|Sample?|answers|613
Hospital del Mar|RecogidaMuestra_ES|ISBlaC|Caso|answers|215
Hospital del Mar|RecogidaMuestra_ES|ISBlaC|Total|answers|828
Hospital Ramón y Cajal|RecogidaMuestra_ES_PG|PanGen-Eu|Sample?|perf|1
Hospital Ramón y Cajal|RecogidaMuestra_ES_PG|PanGen-Eu|Total|perf|1
Hospital Ramón y Cajal|RecogidaMuestra_ES_PG|PanGen-Eu|Sample?|answers|1
Hospital Ramón y Cajal|RecogidaMuestra_ES_PG|PanGen-Eu|Total|answers|1
Hospital de Santiago de Compostela|RecogidaMuestra_ES_PG|PanGen-Eu|Sample?|perf|1
Hospital de Santiago de Compostela|RecogidaMuestra_ES_PG|PanGen-Eu|Total|perf|1
Hospital de Santiago de Compostela|RecogidaMuestra_ES_PG|PanGen-Eu|Sample?|answers|1
Hospital de Santiago de Compostela|RecogidaMuestra_ES_PG|PanGen-Eu|Total|answers|1
Hospital General Universitario de Elche|RecogidaMuestra_ES_PG|PanGen-Eu|Sample?|perf|5
Hospital General Universitario de Elche|RecogidaMuestra_ES_PG|PanGen-Eu|Total|perf|5
Hospital General Universitario de Elche|RecogidaMuestra_ES_PG|PanGen-Eu|Sample?|answers|5
Hospital General Universitario de Elche|RecogidaMuestra_ES_PG|PanGen-Eu|Total|answers|5
Hôpital Henri Mondor, Paris|SampleCollection_FRANCE|ISBlaC|Sample?|perf|126
Hôpital Henri Mondor, Paris|SampleCollection_FRANCE|ISBlaC|Total|perf|126
Hôpital Henri Mondor, Paris|SampleCollection_FRANCE|ISBlaC|Sample?|answers|125
Hôpital Henri Mondor, Paris|SampleCollection_FRANCE|ISBlaC|Total|answers|125
AMNCH Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|35
AMNCH Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|35
AMNCH Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|35
AMNCH Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|35
St Vincent’s Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|31
St Vincent’s Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|31
St Vincent’s Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|31
St Vincent’s Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|31
St James’ Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|4
St James’ Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|4
St James’ Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|4
St James’ Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|4
Mater Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|21
Mater Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|21
Mater Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|21
Mater Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|21
Mercy University Hospital, Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|15
Mercy University Hospital, Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|15
Mercy University Hospital, Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|15
Mercy University Hospital, Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|15
Kerry General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|4
Kerry General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|4
Kerry General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|4
Kerry General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|4
Bon Secours Hospital – Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|4
Bon Secours Hospital – Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|4
Bon Secours Hospital – Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|4
Bon Secours Hospital – Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|4
Midwestern Regional Hospital Limerick|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|1
Midwestern Regional Hospital Limerick|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|1
Midwestern Regional Hospital Limerick|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|1
Midwestern Regional Hospital Limerick|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|1
Mater Infirmorum  Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|28
Mater Infirmorum  Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|28
Mater Infirmorum  Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|28
Mater Infirmorum  Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|28
Belfast City Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|5
Belfast City Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|5
Belfast City Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|5
Belfast City Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|5
Wexford General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|perf|1
Wexford General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|1
Wexford General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|answers|1
Wexford General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|1
Controls (Northern Ireland)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Control|perf|41
Controls (Northern Ireland)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|41
Controls (Northern Ireland)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Control|answers|41
Controls (Northern Ireland)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|41
Controls (RoI-Dublin)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Control|perf|1
Controls (RoI-Dublin)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|1
Controls (RoI-Dublin)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Control|answers|1
Controls (RoI-Dublin)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|answers|1
Controls (RoI-South)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Control|perf|74
Controls (RoI-South)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|perf|74
Controls (RoI-South)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Control|answers|74
